geo,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Afghanistan,0,0,0,0,0,0,50,0,0,0,0,0,500,12,1,0,0,0,0,0,0,154,14,0,160,0,0,5,7020,70,0,4,1200,1,2,6,1,0,0
Albania,0,0,0,0,0,0,0,0,0,35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,0,0,0,0,0,0,0,0,0,0,2640,0,0,0,0,30,0,1,0,22,0,0,0,0,171,0,0,0,0,22,0,0,0,2280,0,0,4,0,0
Argentina,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,23,0,6,0,0,0,2,0,0,0,0,0
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,95,0,0,0,0,0,0,0,0,0,0
Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Chile,0,85,0,0,0,0,0,0,0,0,0,0,0,4,0,180,0,5,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,11,0,12,0
China,10000,0,0,0,20000,10000,242000,0,0,82,0,150,10,34,0,90,0,0,939,42,127,1,0,0,1,71,353,32,55,0,9,8,2,317,4,16,23,3,87600
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,0,0,0,1,0,0,0
Greece,0,0,0,0,0,0,0,0,50,48,1,24,0,0,0,0,20,0,0,0,1,0,0,1,0,52,0,0,0,143,0,0,0,0,0,0,0,0,2
Guatemala,0,0,0,0,0,0,23000,0,0,0,0,0,20,0,0,0,0,0,5,0,0,14,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0
India,26,0,100,0,0,47,0,0,0,0,13,212,0,0,20,0,6,0,384,0,0,1500,0,9750,0,0,0,43,0,100,0,20000,2,0,0,1310,0,0,0
Italy,0,22,1,0,0,0,934,0,5,5,4690,12,0,0,4,0,0,0,0,0,21,0,0,0,0,0,0,14,0,0,0,0,30,0,0,0,0,0,0
Japan,0,0,0,0,30,0,0,0,49,27,2,0,0,103,20,0,0,2,0,0,0,0,0,241,7,5300,0,0,0,0,1,2,0,2,40,1,0,10,14
Mexico,0,0,0,517,0,0,0,0,9,5,67,3,9,0,0,9500,0,2,0,3,0,0,0,0,0,64,0,1,0,46,0,0,0,29,0,0,0,0,0
Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,628,0,0,0,0
Nepal,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pakistan,0,0,0,0,4700,0,0,0,0,0,0,256,0,24,4,5,0,0,0,0,22,300,40,0,0,0,0,50,1,0,0,12,36,0,24,73300,0,0,166
Peru,66800,0,12,0,78,0,0,0,0,13,7,18,3,10,0,0,16,0,0,0,200,64,0,6,0,0,14,0,0,1,0,151,0,0,0,5,0,519,0
Romania,0,0,0,0,0,0,0,1640,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1990,0,0,0,1,0,0,0,3,0,0,0,2,13
South Africa,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,9,8,0,10,0,0,0,0,0,0,15,0,0,0,0,0,0,0,2,0,0,0
Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,11,0
United States,0,65,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,67,0,2,1,2,60,0,0,0,0,0,0,1,0,2,0,0,0,0,0
