geo,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Afghanistan,0,0,150,0,0,0,51,0,120,0,0,0,0,0,0,0,0,0,0,0,0,1190,600,0,0,27,70,70,30,0,0,0,81,136,16,295,282,296,0
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,4,0,0,0,0,0,0,1,0,0,3,0,0,0
Algeria,0,0,0,21,11,0,0,0,0,0,0,43,37,0,54,26,0,0,0,0,0,0,21,22,40,0,4,4,0,12,44,921,48,41,22,12,1,82,89
Argentina,36,0,0,0,0,0,0,0,0,0,41,0,0,0,0,37,3,0,25,0,21,0,45,0,0,0,0,0,19,0,13,1,8,27,5,0,0,10,0
Australia,0,27,0,12,14,0,0,0,7,0,0,2,0,0,36,0,8,0,16,9,12,0,0,1,0,0,5,0,20,0,0,4,0,1,3,3,0,9,5
Bangladesh,0,0,50,427,28700,0,168,13,17,0,655,0,0,245,1200,34,30,2280,2440,180,231,265,17,194,116,741,55,79,1050,196,43,9,10,252,761,55,0,1230,28
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
Bolivia,0,0,0,0,31,0,0,10,40,0,0,0,0,250,0,0,29,25,0,0,0,0,4,0,0,0,0,56,0,0,30,41,76,74,0,0,25,115,0
Brazil,172,239,0,20,205,118,0,62,26,300,67,97,0,143,263,101,28,107,655,137,24,20,107,0,0,110,15,90,13,7,48,85,17,255,35,47,20,69,200
Chile,0,0,0,0,32,0,0,0,4,0,0,0,0,0,0,0,23,127,0,21,0,0,0,109,0,28,0,22,0,0,16,4,19,0,3,5,18,0,9
China,0,0,0,0,0,0,0,0,0,0,6300,2320,447,100,31,1220,313,219,1240,2000,495,1860,540,1230,1560,1620,4090,1090,4250,1190,422,402,1250,662,450,578,430,1030,352
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,33,10,0,0,2,0,0,8,0,0,0,7,2,0,1,0,0,48,0,2,30
Greece,0,0,0,0,0,0,0,27,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,9,3,0,1,11,0,0,0,0,1,2,0
Guatemala,0,0,0,5,0,0,0,0,0,0,0,0,620,0,0,0,0,84,0,10,0,0,0,0,10,31,0,0,0,12,36,0,0,0,0,0,0,11,21
India,1030,1320,0,0,260,350,0,560,4610,253,2410,553,932,785,740,1980,251,1310,2100,1610,224,1020,832,1300,2020,1510,1290,2360,2130,554,2090,581,735,452,1350,2130,1190,2050,2440
Italy,37,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,68,0,17,0,0,0,46,2,2,3,2,0,0,0,9
Japan,0,0,458,0,0,0,0,5,8,23,20,0,345,0,0,0,14,0,27,10,27,0,0,0,0,0,0,0,16,60,18,1,0,23,22,0,42,2,5
Mexico,35,0,37,130,0,0,0,0,6,0,104,0,25,0,0,0,20,16,0,40,45,23,0,65,0,0,0,0,432,654,139,21,37,6,38,41,0,22,12
Morocco,11,0,0,0,0,10,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,791,25,60,0,0,6,15,80,35,0,0,17,0,39
Nepal,350,0,0,0,0,0,0,0,130,0,0,750,92,186,200,46,22,188,27,0,30,51,0,1050,0,140,788,0,310,170,144,0,0,239,185,51,0,214,115
New Zealand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
Pakistan,0,0,0,474,0,0,338,848,393,13,75,82,68,39,39,0,0,0,196,20,0,24,1450,15,316,1060,111,171,1000,34,0,210,37,266,5,636,400,526,82
Peru,3,250,0,0,0,0,0,21,2,0,70,70,332,0,0,0,62,173,38,38,61,0,0,80,85,0,0,0,0,74,22,15,23,22,0,0,0,17,40
Romania,215,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,2,2,0,20,31,34,9,7,9,3,10,97,51,12,5
Russia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,46,0,4,2,14,0,3,37,259,0,18,22,0,0,0
South Africa,0,0,0,0,26,0,0,4,26,0,0,104,0,0,0,0,0,506,25,0,0,0,0,12,0,207,34,0,0,27,93,5,16,1,0,0,12,0,11
Spain,0,0,0,500,0,0,0,0,2,20,0,0,77,45,0,0,0,5,0,12,0,0,0,0,10,0,1,5,0,0,24,0,6,0,0,0,0,5,0
Tajikistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1350,0,0,0,0,0,51,27,0,0,32,6,0,8,0,22,0
United States,0,0,237,56,0,0,139,140,27,0,36,30,11,10,28,12,13,0,0,0,38,15,0,98,37,19,72,72,31,0,8,12,26,24,1,53,40,80,44
