geo,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,260,71,0,0
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0
Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,13,0,10,0,0,0
Argentina,0,0,0,60,100,20,0,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,15,0,6,0,0,0,0,1,20,3,12,0,11,0,0,0
Australia,13,3,0,0,76,0,0,0,5,15,0,0,1,0,0,27,7,0,1,4,0,0,2,0,27,8,7,0,0,7,1,2,0,1,3,1,0,2,1
Bangladesh,300000,163,200,1900,2800,0,47,634,1030,53,11,1090,0,685,0,15100,184,12,1060,815,693,139000,23,452,205,753,626,425,321,128,99,238,122,60,239,177,154,4280,0
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,6,0,0,0,2,0,0,5,0,0,0,0,2,0
Bolivia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0
Brazil,0,0,0,0,0,0,0,10,0,0,15,0,33,0,10,22,0,0,0,36,0,0,0,0,0,0,0,3,0,0,0,13,0,0,4,2,0,0,3
Chile,0,0,0,0,0,0,0,15,0,0,0,0,0,0,127,0,16,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,45,0,0,0
China,107,0,0,0,0,0,0,0,0,0,188,0,0,510,13,296,368,406,335,1120,629,255,860,214,1490,681,637,282,96,496,162,344,108,61,249,426,1500,95,74
Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,475,0,1,0,0,0,0,69,0,0,0
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0
Guatemala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,8,2,0,0,1510,0,0,17
India,0,9720,230,0,20,501,270,14200,811,594,153,805,744,782,524,178,390,166,74,93,1840,125,85,186,219,222,1540,25,3470,10400,0,99,144,164,0,82,190,0,0
Italy,35,0,0,38,0,0,0,0,1,0,0,0,0,0,0,0,0,33,0,0,6,0,0,8,3,0,0,22,0,0,0,0,0,0,0,0,1,0,0
Japan,0,135,50,101,284,68,169,32,6,71,7,163,218,175,0,49,17,8,0,15,40,101,11,113,3,3,6,7,41,26,13,22,7,21,287,135,20,13,0
Mexico,0,17,0,0,13,29,720,10,0,0,0,100,225,275,4,0,0,0,288,0,38,13,3,38,0,170,16,242,255,9,31,5,16,4,20,47,15,20,2
Morocco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,0,0,0
Nepal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,70,0,0,6,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,3,0,0,0,0,0,2,0,0,0,0,0
Pakistan,0,0,0,0,0,0,0,0,0,0,18,56,0,0,0,0,11,0,36,0,0,0,0,609,36,0,0,41,12,258,0,4,14,51,0,58,0,242,0
Peru,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,518,0,0,0,0,59,0,0,0,0,0,0
Romania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,12,0,0,14,0,0,0,12,3,0,0,0
Russia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,145,0,0,8,12,9,8,8,0,9,0,0,0,0
South Africa,0,0,0,0,0,0,0,0,0,0,0,0,0,10,64,0,0,0,0,0,2,0,0,7,2,0,0,0,18,26,1,14,23,0,0,0,0,0,5
Spain,0,0,0,19,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,33,9,0,0,0,12,0,0,21,0,6,14,10,0,0,0,0,0,1,0
Tajikistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United States,37,158,256,50,352,102,0,91,215,186,12,30,503,132,1120,363,1,151,27,108,162,87,95,291,165,150,287,180,203,227,105,82,189,151,215,1880,93,245,261
